timestamp,t_rel,pos:left_shoulder_left_top_leg-left_shoulder,pos:left_bottom_leg_left_foot-left_bottom_leg,pos:left_motor_left_shoulder--left_motor,pos:right_motor_right_shoulder-right_motor,pos:left_top_leg_left_bottom_leg-left_top_leg,pos:right_shoulder_right_top_leg-right_shoulder,pos:right_top_leg_right_bottom_leg--right_top_leg,pos:right_bottom_leg_right_foot-right_bottom_leg,vel:left_shoulder_left_top_leg-left_shoulder,vel:left_bottom_leg_left_foot-left_bottom_leg,vel:left_motor_left_shoulder--left_motor,vel:right_motor_right_shoulder-right_motor,vel:left_top_leg_left_bottom_leg-left_top_leg,vel:right_shoulder_right_top_leg-right_shoulder,vel:right_top_leg_right_bottom_leg--right_top_leg,vel:right_bottom_leg_right_foot-right_bottom_leg
2025-11-10T09:11:23,180.577,-0.722280485112797,-0.6481167608572762,-0.00042131650758761303,1.9460898350249875e-05,-1.2801993864462577,0.685893349497987,1.2797167880705511,0.6495507596483714,-0.09677944571052238,-0.09644235614324553,-0.000589679910693781,-3.264750506795248e-05,-0.11994924952099027,0.11460229995948085,0.11900501467726232,0.09861918980455028
2025-11-10T09:11:23,180.677,-0.7354909718851006,-0.6612812345816966,-0.0005018083785930947,1.5004482727257629e-05,-1.2965725735678753,0.7015366728976548,1.295961086234173,0.663012373246626,-0.1091268578558337,-0.10874676138986591,-0.0006649130434906436,-3.681277174860594e-05,-0.13525273477535438,0.1292236053411302,0.13418803161635678,0.11120132202295238
2025-11-10T09:11:23,180.777,-0.7487016679074009,-0.6744459168272812,-0.0005823015245647471,1.0547996516029684e-05,-1.312946020035678,0.7171802440826937,1.312205641702419,0.676474200072648,-0.11722114525443371,-0.11681285582025208,-0.0007142317664415148,-3.9543292541809025e-05,-0.14528486186330392,0.13880853265293952,0.14414118627228978,0.11944947905086908
2025-11-10T09:11:23,180.877,-0.7619118134595395,-0.6876100505200303,-0.000662791316506075,6.091695999989975e-06,-1.3293187842461864,0.7328231634232618,1.3284495202840683,0.6899354659642593,-0.12240935414789852,-0.12198299381986188,-0.0007458436705446866,-4.129347900856808e-05,-0.15171517109436414,0.14495219949765148,0.15052087641189132,0.1247363140172594
2025-11-10T09:11:24,180.977,-0.7751221407844026,-0.7007743653523767,-0.0007432822159937736,1.6353341648768342e-06,-1.3456917737473204,0.7484662980117283,1.344693622382866,0.7033969170840321,-0.12578089407473447,-0.1253427904377064,-0.0007663865590512378,-4.243083173920278e-05,-0.1558938857065931,0.14894464052873937,0.15466669637947267,0.12817194576258664
2025-11-10T09:11:24,181.077,-0.7883313289913862,-0.7139375450344708,-0.0008237661748038891,-2.8206434010718783e-06,-1.3620633514162857,0.7641080837029373,1.3609363237633711,0.7168572074316851,-0.1280016914663203,-0.12755585263690458,-0.0007799179406160421,-4.3179993852752836e-05,-0.15864636045475095,0.1515744188556481,0.15739750377602874,0.1304349597514595
2025-11-10T09:11:24,181.177,-0.8015427023020278,-0.7271029022093541,-0.0009042634475126363,-7.2773580882369714e-06,-1.3784376373208886,0.7797524569053992,1.3771817120604106,0.7303197244210676,-0.12945274930968903,-0.12900185634448078,-0.0007887592772573831,-4.3669492608893325e-05,-0.16044481360816332,0.15329270278467222,0.15918179959090784,0.13191360170711375
2025-11-10T09:11:24,181.277,-0.8147556333626442,-0.7402698117084604,-0.0009847702116362114,-1.1734598265601196e-05,-1.3948138539137598,0.7953986747322912,1.3934290158474312,0.7437838287727181,-0.13039995639460167,-0.12994576424097562,-0.0007945306369209894,-4.3989022730997804e-05,-0.16161878994313947,0.15441434705192308,0.1603465344394586,0.1328788148740771
2025-11-10T09:11:24,181.377,-0.8281245365173309,-0.7535921500399422,-0.001066227318157667,-1.6244453951291957e-05,-1.411383383616585,0.811229588395977,1.4098681109927076,0.7574068701944914,-0.13154113916235535,-0.1310829721894635,-0.0008014838959279397,-4.437398846334086e-05,-0.16303318135190772,0.15576568946661196,0.16174979182566218,0.1340416911351321
2025-11-10T09:11:24,181.477,-0.841176409414357,-0.7665985623522882,-0.0011457527503173604,-2.0647362889481913e-05,-1.4275599833826593,0.8266850876685397,1.4259173693271916,0.7707068547220606,-0.13116091398883345,-0.1307040713667708,-0.00079916717314946,-4.4245723590687376e-05,-0.16256192711111195,0.15531544221557383,0.16128224727605756,0.13365423801137427
